title,year,certificate,runtime,genre,rating,image
Tanaav,2022–,UA 16+,30 min,"Action, Crime, Drama            ",8.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSaRbonnuXF8Qh3EBbU8XacgU5EWABMMdFpU6u7rTcVL5YYQWjKJXGOezGUjA&s
Bridge of Spies,2015,UA,142 min,"Drama, History, Thriller            ",7.6,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRJdQl0AEdI0LLe5G3roL8oD3O90YPMhjz1hxRUuXuweO0YirjOtTLBWCIrkQ&s
Mukhbir - The Story of a Spy,2022–,UA,40 min,"Drama, Mystery, Thriller            ",7.8,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT3dmFUJpnEqpyxwndW-F3rmdIJOoD8HU71TjuiOUxuXqPCzV5rvFthGJCZxw&s
Monster,III 2022,UA,135 min,"Action, Adventure, Crime            ",4.6,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRUjt71uKpkItEnsrR_Hx11WRGe-aL-a_oPH0ZGIpMuLfi_UyCVF03OhcQaNQ&s
Vikram Vedha,2022,UA,160 min,"Action, Crime, Drama            ",7.1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRk3Hc0pTPYqhHgo0RgzC7gjvYIrRIQFvmwgl8jcBVr-zHl9tj9ojbb3jutzy4&s
Flames,2018–,Not Rated,20 min,"Comedy, Drama, Romance            ",8.9,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSyhlTgkAtbw91QlUhgrk-yOpT4bT82Q1Wf0y5Vb_jd54zc88u2tbIyfhojUA&s
Ghost in the Shell,2017,U,107 min,"Action, Crime, Drama            ",6.3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT5YVZVrl8pm74sO8hzfKyzLXMpU9Fo0bIHdZqzCOG0oG5uwgXkjVuEfSGEwYM&s
The Turning,2020,18,94 min,"Drama, Horror, Mystery            ",3.9,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRRG-FmcbD8mgQoXIJ4mFuBim_D0hclnqYQmC4skgcU91QKnbR8xEBV1vEaDw&s
Breathe: Into the Shadows,2020–,16,46 min,"Drama, Thriller            ",7.6,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ3lXELynbQMSbfd1Ocnv_k0dTKEthSgy7h65mfb1Hcb3bU5zvznyxqLEuBGLY&s
Tumbbad,2018,A,104 min,"Drama, Fantasy, Horror            ",8.2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSq3B2SDJydsTjMDPYeK3DEHmQ0F-hq-607lwF-3Kro858jMJ13IfaS68Sjtg&s
Finch,2021,UA 13+,115 min,"Adventure, Drama, Sci-Fi            ",6.9,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSSWTvIm-7OSlQdvSVVMiWQYrEW2yv-03Q6KEWg3lsyhFaV_llwiRsutyqXHYM&s
Dredd,2012,A,95 min,"Action, Crime, Sci-Fi            ",7.1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTm-qlohnr8ASgKs7iOPOBB8E0mtO-u2gI57iL5k5HES1WJGs-FmPTMxioOoA&s
Kumari,2022,UA,137 min,"Horror, Thriller            ",6.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRYr2s-MQKz4ODiOb_jiSNpzYEr8h-wTodX_h1Fh-mTy2Yiff85glviKrRqWTg&s
